prod,origen,imported,subcategoria,categoria_producto,unidad_medida1,unidad_medida2,time,post,timeToTreat,post_imported,stock,max_consecutivos_sin_stock,precio,precio_cont,precio_std,price_var,price_var_cont,first_price_cont,price_variation_c,dolar_variation,_merge
arg_7,Argentina,0,Cafe molido,Cafe molido,4,gr,8/29/2024,0,-4,0,InStock,,15750,15750,63000,,,15750,0,0,Matched (3)
imp_228,España,1,Aceitunas,Aceitunas,0.8333333,gr,8/29/2024,0,-4,0,InStock,,10650,10650,8875,,,10650,0,0,Matched (3)
imp_114,Italia,1,Pastas largas,Pastas largas,1,gr,8/29/2024,0,-4,0,InStock,,10674.15,10674.15,10674.15,,,10674.15,-3.66E-06,0,Matched (3)
arg_150,Argentina,0,Aceitunas,Aceitunas,2.5,gr,8/29/2024,0,-4,0,InStock,,1450,1450,3625,,,1450,0,0,Matched (3)
arg_99,Argentina,0,Aderezos,Aderezos,1,gr,8/29/2024,0,-4,0,InStock,,2550,2550,2550,,,2550,0,0,Matched (3)
imp_79,Argentina,0,Condimento liquido,Condimento liquido,3.5714285,ml,8/29/2024,0,-4,0,InStock,,4350,4350,15535.714,,,4350,0,0,Matched (3)
imp_189,Italia,1,Salsa de tomate,Salsa de tomate,0.71428573,gr,8/29/2024,0,-4,0,InStock,,10650,10650,7607.143,,,10650,0,0,Matched (3)
arg_155,Argentina,0,Queso,Queso,1,gr,8/29/2024,0,-4,0,InStock,4,25476,25476,25476,,,25476,0,0,Matched (3)
arg_106,Argentina,0,Aderezos,Aderezos,1.754386,gr,8/29/2024,0,-4,0,InStock,10,5700,5700,10000,,,5700,0,0,Matched (3)
arg_172,Argentina,0,Te,Te,0.05,u,8/29/2024,0,-4,0,InStock,,1800,1800,90,,,1800,0,0,Matched (3)
imp_109,Italia,1,Pastas cortas,Pastas cortas,1,gr,8/29/2024,0,-4,0,InStock,,9700,9700,9700,,,9700,0,0,Matched (3)
arg_39,Argentina,0,Pastas largas,Pastas largas,1,gr,8/29/2024,0,-4,0,InStock,,2100,2100,2100,,,2100,0,0,Matched (3)
arg_147,Argentina,0,Aceitunas,Aceitunas,1.6666666,gr,8/29/2024,0,-4,0,InStock,,1200,1200,2000,,,1200,0,0,Matched (3)
imp_126,Francia,1,Cerveza,Cerveza,2,ml,8/29/2024,0,-4,0,InStock,,6900,6900,13800,,,6900,0,0,Matched (3)
arg_142,Argentina,0,Pescado enlatado,Pescado enlatado,0.5882353,gr,8/29/2024,0,-4,0,InStock,9,3676,3676,2162.353,,,3676,0,0,Matched (3)
arg_116,Argentina,0,Snack,Snack,0.5,gr,8/29/2024,0,-4,0,InStock,,5937,5937,2968.5,,,5937,0,0,Matched (3)
arg_111,Argentina,0,Chocolate,Chocolate,0.6666667,gr,8/29/2024,0,-4,0,InStock,2,4900,4900,3266.6667,,,4900,0,0,Matched (3)
arg_175,Argentina,0,Te,Te,0.04,u,8/29/2024,0,-4,0,InStock,1,1900,1900,76,,,1900,0,0,Matched (3)
arg_89,Argentina,0,Capsulas de cafe,Capsulas de cafe,0.1,u,8/29/2024,0,-4,0,InStock,,6850,6850,685,,,6850,0,0,Matched (3)
imp_154,Estados Unidos,1,Aderezos,Aderezos,2.5,gr,8/29/2024,0,-4,0,InStock,,1250,1250,3125,,,1250,0,0,Matched (3)
arg_81,Argentina,0,Pastas cortas,Pastas cortas,1,gr,8/29/2024,0,-4,0,InStock,,1200,1200,1200,,,1200,0,0,Matched (3)
arg_69,Argentina,0,Pastas cortas,Pastas cortas,1,gr,8/29/2024,0,-4,0,InStock,,1350,1350,1350,,,1350,0,0,Matched (3)
arg_41,Argentina,0,Pastas cortas,Pastas cortas,1,gr,8/29/2024,0,-4,0,InStock,,1400,1400,1400,,,1400,0,0,Matched (3)
arg_8,Argentina,0,Cafe molido,Cafe molido,2,gr,8/29/2024,0,-4,0,InStock,,7450,7450,14900,,,7450,0,0,Matched (3)
arg_120,Argentina,0,Snack,Snack,1.4285715,gr,8/29/2024,0,-4,0,InStock,,2700,2700,3857.143,,,2700,0,0,Matched (3)
arg_52,Argentina,0,Golosinas,Golosinas,0.6666667,gr,8/29/2024,0,-4,0,InStock,17,4050,4050,2700,,,4050,0,0,Matched (3)
arg_24,Argentina,0,Golosinas,Golosinas,4.5454545,gr,8/29/2024,0,-4,0,InStock,,696,696,3163.6362,,,696,0,0,Matched (3)
arg_126,Argentina,0,Snack,Snack,0.37037036,gr,8/29/2024,0,-4,0,InStock,,3750,3750,1388.8888,,,3750,0,0,Matched (3)
imp_50,Italia,1,Cafe molido,Cafe molido,4,gr,8/29/2024,0,-4,0,InStock,,11350,11350,45400,,,11350,0,0,Matched (3)
imp_236,Brasil,1,Capsulas de cafe,Capsulas de cafe,0.0625,u,8/29/2024,0,-4,0,InStock,,16406,16406,1025.375,,,16406,0,0,Matched (3)
arg_101,Argentina,0,Aderezos,Aderezos,0.5263158,gr,8/29/2024,0,-4,0,InStock,,3450,3450,1815.7896,,,3450,0,0,Matched (3)
imp_134,España,1,Golosinas,Golosinas,1.4285715,gr,8/29/2024,0,-4,0,InStock,,2100,2100,3000,,,2100,0,0,Matched (3)
