prod,origen,imported,categoria_producto,time,post,timeToTreat,precio_std,price_variation_c,dolar_variation,stock,max_consecutivos_sin_stock,log_precio,stock_dummy
arg_7,Argentina,0.0,Cafe molido,2024-08-29,0.0,-4.0,63000.0,0.0,0.0,InStock,0.0,11.050905878263567,1
imp_228,España,1.0,Aceitunas,2024-08-29,0.0,-4.0,8875.0,0.0,0.0,InStock,0.0,9.091106284052485,1
imp_114,Italia,1.0,Pastas largas,2024-08-29,0.0,-4.0,10674.15,-3.66e-06,0.0,InStock,0.0,9.275673889520352,1
arg_150,Argentina,0.0,Aceitunas,2024-08-29,0.0,-4.0,3625.0,0.0,0.0,InStock,0.0,8.195885391314796,1
arg_99,Argentina,0.0,Aderezos,2024-08-29,0.0,-4.0,2550.0,0.0,0.0,InStock,0.0,7.844240718141811,1
imp_79,Argentina,0.0,Condimento liquido,2024-08-29,0.0,-4.0,15535.714,0.0,0.0,InStock,0.0,9.65096114725057,1
imp_189,Italia,1.0,Salsa de tomate,2024-08-29,0.0,-4.0,7607.143,0.0,0.0,InStock,0.0,8.93697440005279,1
arg_155,Argentina,0.0,Queso,2024-08-29,0.0,-4.0,25476.0,0.0,0.0,InStock,4.0,10.145531363350818,1
arg_106,Argentina,0.0,Aderezos,2024-08-29,0.0,-4.0,10000.0,0.0,0.0,InStock,10.0,9.210440366976517,1
arg_172,Argentina,0.0,Te,2024-08-29,0.0,-4.0,90.0,0.0,0.0,InStock,0.0,4.51085950651685,1
imp_109,Italia,1.0,Pastas cortas,2024-08-29,0.0,-4.0,9700.0,0.0,0.0,InStock,0.0,9.179984251961283,1
arg_39,Argentina,0.0,Pastas largas,2024-08-29,0.0,-4.0,2100.0,0.0,0.0,InStock,0.0,7.650168700845001,1
arg_147,Argentina,0.0,Aceitunas,2024-08-29,0.0,-4.0,2000.0,0.0,0.0,InStock,0.0,7.601402334583733,1
imp_126,Francia,1.0,Cerveza,2024-08-29,0.0,-4.0,13800.0,0.0,0.0,InStock,0.0,9.53249633228804,1
arg_142,Argentina,0.0,Pescado enlatado,2024-08-29,0.0,-4.0,2162.353,0.0,0.0,InStock,9.0,7.679414611897795,1
arg_116,Argentina,0.0,Snack,2024-08-29,0.0,-4.0,2968.5,0.0,0.0,InStock,0.0,7.996148867455915,1
arg_111,Argentina,0.0,Chocolate,2024-08-29,0.0,-4.0,3266.6667,0.0,0.0,InStock,2.0,8.091831461794575,1
arg_175,Argentina,0.0,Te,2024-08-29,0.0,-4.0,76.0,0.0,0.0,InStock,1.0,4.343805421853684,1
